speed,steering_angle,position,rotation,rotation_speed
-0.01537624999999987,0.0,"Vec3(-1.3, 0.380419, -0.600095)","Vec3(0, 0, 0)",0
-0.03093424999999983,0.0,"Vec3(-1.3, 0.380419, -0.600287)","Vec3(0, 0, 0)",0
-0.04809249999999987,0.0,"Vec3(-1.3, 0.380419, -0.600617)","Vec3(0, 0, 0)",0
-0.06185549999999984,0.0,"Vec3(-1.3, 0.380419, -0.600958)","Vec3(0, 0, 0)",0
-0.07725574999999929,0.0,"Vec3(-1.3, 0.380419, -0.601434)","Vec3(0, 0, 0)",0
-0.09215924999999903,0.0,"Vec3(-1.3, 0.380419, -0.601983)","Vec3(0, 0, 0)",0
-0.10595074999999898,0.0,"Vec3(-1.3, 0.380419, -0.602567)","Vec3(0, 0, 0)",0
-0.11944974999999913,0.0,"Vec3(-1.3, 0.380419, -0.603212)","Vec3(0, 0, 0)",0
-0.13347524999999916,0.0,"Vec3(-1.3, 0.380419, -0.603961)","Vec3(0, 0, 0)",0
-0.1493692499999999,0.0,"Vec3(-1.3, 0.380419, -0.604911)","Vec3(0, 0, 0)",0
-0.1785104999999998,0.0,"Vec3(-1.3, 0.380419, -0.606992)","Vec3(0, 0, 0)",0
-0.19167924999999975,0.0,"Vec3(-1.3, 0.380419, -0.608001)","Vec3(0, 0, 0)",0
-0.20417924999999948,0.0,"Vec3(-1.3, 0.380419, -0.609022)","Vec3(0, 0, 0)",0
-0.21661225000000006,0.0,"Vec3(-1.3, 0.380419, -0.610099)","Vec3(0, 0, 0)",0
-0.228529999999999,0.0,"Vec3(-1.3, 0.380419, -0.611189)","Vec3(0, 0, 0)",0
-0.24129449999999997,0.0,"Vec3(-1.3, 0.380419, -0.612421)","Vec3(0, 0, 0)",0
-0.25442824999999947,0.0,"Vec3(-1.3, 0.380419, -0.613758)","Vec3(0, 0, 0)",0
-0.26932574999999903,0.0,"Vec3(-1.3, 0.380419, -0.615363)","Vec3(0, 0, 0)",0
-0.2843534999999997,0.0,"Vec3(-1.3, 0.380419, -0.617072)","Vec3(0, 0, 0)",0
-0.2996357499999991,0.0,"Vec3(-1.3, 0.380419, -0.618903)","Vec3(0, 0, 0)",0
-0.31458049999999904,0.0,"Vec3(-1.3, 0.380419, -0.620784)","Vec3(0, 0, 0)",0
-0.3298689999999993,0.0,"Vec3(-1.3, 0.380419, -0.622801)","Vec3(0, 0, 0)",0
-0.34642774999999904,0.0,"Vec3(-1.3, 0.380419, -0.625096)","Vec3(0, 0, 0)",0
-0.36562349999999966,0.0,"Vec3(-1.3, 0.380419, -0.627903)","Vec3(0, 0, 0)",0
-0.38038999999999934,0.0,"Vec3(-1.3, 0.380419, -0.63015)","Vec3(0, 0, 0)",0
-0.39410474999999945,0.0,"Vec3(-1.3, 0.380419, -0.632312)","Vec3(0, 0, 0)",0
-0.40658374999999913,0.0,"Vec3(-1.3, 0.380419, -0.634341)","Vec3(0, 0, 0)",0
-0.4202534999999996,0.0,"Vec3(-1.3, 0.380419, -0.636639)","Vec3(0, 0, 0)",0
-0.4359642499999994,0.0,"Vec3(-1.3, 0.380419, -0.639379)","Vec3(0, 0, 0)",0
-0.450892249999999,0.0,"Vec3(-1.3, 0.380419, -0.642071)","Vec3(0, 0, 0)",0
-0.48186224999999916,0.0,"Vec3(-1.3, 0.380419, -0.648041)","Vec3(0, 0, 0)",0
-0.4955899999999991,0.0,"Vec3(-1.3, 0.380419, -0.650762)","Vec3(0, 0, 0)",0
-0.5084032499999991,0.0,"Vec3(-1.3, 0.380419, -0.653368)","Vec3(0, 0, 0)",0
-0.521439749999999,0.0,"Vec3(-1.3, 0.380419, -0.656087)","Vec3(0, 0, 0)",0
-0.5361562499999994,0.0,"Vec3(-1.3, 0.380419, -0.659243)","Vec3(0, 0, 0)",0
-0.5493242499999995,0.0,"Vec3(-1.3, 0.380419, -0.662136)","Vec3(0, 0, 0)",0
-0.5623262499999993,0.0,"Vec3(-1.3, 0.380419, -0.665061)","Vec3(0, 0, 0)",0
-0.5746874999999996,0.0,"Vec3(-1.3, 0.380419, -0.667902)","Vec3(0, 0, 0)",0
-0.5882992499999995,0.0,"Vec3(-1.3, 0.380419, -0.671106)","Vec3(0, 0, 0)",0
-0.6182917499999996,0.0,"Vec3(-1.3, 0.380419, -0.678523)","Vec3(0, 0, 0)",0
-0.6323947499999993,0.0,"Vec3(-1.3, 0.380419, -0.682091)","Vec3(0, 0, 0)",0
-0.6457619999999997,0.0,"Vec3(-1.3, 0.380419, -0.685543)","Vec3(0, 0, 0)",0
-0.65788175,0.0,"Vec3(-1.3, 0.380419, -0.688733)","Vec3(0, 0, 0)",0
-0.6720902499999992,0.0,"Vec3(-1.3, 0.380419, -0.692553)","Vec3(0, 0, 0)",0
-0.6850844999999994,0.0,"Vec3(-1.3, 0.380419, -0.696113)","Vec3(0, 0, 0)",0
-0.6970309999999991,0.0,"Vec3(-1.3, 0.380419, -0.699444)","Vec3(0, 0, 0)",0
-0.7099567499999992,0.0,"Vec3(-1.3, 0.380419, -0.703115)","Vec3(0, 0, 0)",0
-0.7274974499999995,0.0,"Vec3(-1.3, 0.380419, -0.711622)","Vec3(0, 0, 0)",-0.09355040000000159
-0.7378924499999997,0.0,"Vec3(-1.3, 0.38042, -0.716736)","Vec3(0, -0.0324152, 0)",-0.14983065955475242
-0.7480858499999994,0.0,"Vec3(-1.29999, 0.38042, -0.721819)","Vec3(0, -0.0833247, 0)",-0.2050311965436207
-0.7574123999999995,0.0,"Vec3(-1.29998, 0.38042, -0.726529)","Vec3(0, -0.147066, 0)",-0.25554802544187905
-0.7669570499999991,0.0,"Vec3(-1.29996, 0.38042, -0.731409)","Vec3(0, -0.22837, 0)",-0.3072560739156169
-0.7764503999999994,0.0,"Vec3(-1.29993, 0.38042, -0.736323)","Vec3(0, -0.325599, 0)",-0.35869627299457596
-0.7847770499999993,0.0,"Vec3(-1.2999, 0.38042, -0.740679)","Vec3(0, -0.425157, 0)",-0.4038234319638153
-0.7934387999999997,0.0,"Vec3(-1.29985, 0.38042, -0.745261)","Vec3(0, -0.541751, 0)",-0.45077471447635475
-0.8024003999999996,0.0,"Vec3(-1.2998, 0.38042, -0.750054)","Vec3(0, -0.676407, 0)",-0.4993599679374742
-0.8104357499999992,0.0,"Vec3(-1.29974, 0.38042, -0.754395)","Vec3(0, -0.810158, 0)",-0.5429315643879324
-0.8188121999999995,0.0,"Vec3(-1.29966, 0.38042, -0.758967)","Vec3(0, -0.961752, 0)",-0.5883602504477217
-0.8279053499999993,0.0,"Vec3(-1.29956, 0.38042, -0.763985)","Vec3(0, -1.14009, 0)",-0.6376843373539904
-0.8372033999999995,0.0,"Vec3(-1.29944, 0.38042, -0.769173)","Vec3(0, -1.33773, 0)",-0.6881292601694988
-0.8464178999999992,0.0,"Vec3(-1.2993, 0.38042, -0.774371)","Vec3(0, -1.54909, 0)",-0.738130416917197
-0.8554364999999997,0.0,"Vec3(-1.29914, 0.38042, -0.779512)","Vec3(0, -1.77098, 0)",-0.78707778408086
-0.8636431499999995,0.0,"Vec3(-1.29898, 0.38042, -0.784234)","Vec3(0, -1.98629, 0)",-0.8316266138533838
-0.8726567999999995,0.0,"Vec3(-1.29877, 0.38042, -0.789474)","Vec3(0, -2.23616, 0)",-0.8805643668621612
-0.8819494499999991,0.0,"Vec3(-1.29853, 0.38042, -0.794932)","Vec3(0, -2.50892, 0)",-0.9310261995524395
-0.9009340499999992,0.0,"Vec3(-1.29792, 0.38042, -0.806318)","Vec3(0, -3.09809, 0)",-1.0341377837222696
-0.9127907999999991,0.0,"Vec3(-1.29747, 0.38042, -0.81352)","Vec3(0, -3.50681, 0)",-1.098560689255307
-0.9219811499999997,0.0,"Vec3(-1.2971, 0.38042, -0.819156)","Vec3(0, -3.84335, 0)",-1.14850798558073
-0.9306781499999996,0.0,"Vec3(-1.2967, 0.38042, -0.824538)","Vec3(0, -4.1763, 0)",-1.19578292669868
-0.9416683499999996,0.0,"Vec3(-1.29615, 0.38042, -0.831415)","Vec3(0, -4.61436, 0)",-1.2555338088102497
-0.9524953499999995,0.0,"Vec3(-1.29554, 0.38042, -0.838263)","Vec3(0, -5.06748, 0)",-1.3144106358352992
-0.9626233499999997,0.0,"Vec3(-1.29492, 0.38042, -0.844733)","Vec3(0, -5.51123, 0)",-1.3694985106025
-0.9720043499999993,0.0,"Vec3(-1.29429, 0.38042, -0.850779)","Vec3(0, -5.93947, 0)",-1.4205338850076479
-0.9818725499999996,0.0,"Vec3(-1.29357, 0.38042, -0.857198)","Vec3(0, -6.40674, 0)",-1.4742300553772796
-1.0019966999999992,0.0,"Vec3(-1.29184, 0.38042, -0.870529)","Vec3(0, -7.39566, 0)",-1.5837543387636197
-1.0104265499999994,0.0,"Vec3(-1.29106, 0.38042, -0.876155)","Vec3(0, -7.84069, 0)",-1.6296520589726757
-1.0180408499999993,0.0,"Vec3(-1.29032, 0.38042, -0.881269)","Vec3(0, -8.25431, 0)",-1.6711165135148605
-1.0269475499999992,0.0,"Vec3(-1.28939, 0.38042, -0.887296)","Vec3(0, -8.75045, 0)",-1.7196264006747144
-1.036031249999999,0.0,"Vec3(-1.28838, 0.38042, -0.893488)","Vec3(0, -9.27113, 0)",-1.769109298836929
-1.0451894999999995,0.0,"Vec3(-1.28729, 0.38042, -0.899776)","Vec3(0, -9.8112, 0)",-1.8190075469697442
-1.0547234999999993,0.0,"Vec3(-1.28608, 0.38042, -0.90637)","Vec3(0, -10.3893, 0)",-1.8709627510467426
-1.0635853499999992,0.0,"Vec3(-1.28489, 0.38042, -0.912539)","Vec3(0, -10.942, 0)",-1.9192644845410174
-1.0725208499999992,0.0,"Vec3(-1.28362, 0.38042, -0.918799)","Vec3(0, -11.5136, 0)",-1.9679764475293422
-1.0818292499999997,0.0,"Vec3(-1.28221, 0.38042, -0.925363)","Vec3(0, -12.1242, 0)",-2.018730520093805
-1.0908710999999995,0.0,"Vec3(-1.28076, 0.38042, -0.931777)","Vec3(0, -12.7327, 0)",-2.0680405798498165
-1.0998296999999997,0.0,"Vec3(-1.27924, 0.38042, -0.938168)","Vec3(0, -13.3502, 0)",-2.1169056329427574
-1.1088970499999997,0.0,"Vec3(-1.27762, 0.38042, -0.944673)","Vec3(0, -13.99, 0)",-2.1663728930350126
-1.1179769999999998,0.0,"Vec3(-1.27591, 0.38042, -0.95122)","Vec3(0, -14.6457, 0)",-2.2159180407871406
-1.1271653999999995,0.0,"Vec3(-1.27408, 0.38042, -0.957879)","Vec3(0, -15.3244, 0)",-2.266064220772339
-1.1466305999999997,0.0,"Vec3(-1.26979, 0.38042, -0.972124)","Vec3(0, -16.7947, 0)",-2.3723164540994603
-1.1593160999999996,0.0,"Vec3(-1.26679, 0.38042, -0.981459)","Vec3(0, -17.7979, 0)",-2.44158862993016
-1.1709826499999998,0.0,"Vec3(-1.26386, 0.38042, -0.990084)","Vec3(0, -18.7474, 0)",-2.505313032068656
-1.1791826999999997,0.0,"Vec3(-1.26172, 0.38042, -0.996163)","Vec3(0, -19.4322, 0)",-2.5501135338774477
-1.1869042499999993,0.0,"Vec3(-1.25962, 0.38042, -1.0019)","Vec3(0, -20.0885, 0)",-2.592306813674911
-1.1950360499999997,0.0,"Vec3(-1.25732, 0.38042, -1.00796)","Vec3(0, -20.7912, 0)",-2.6
-1.2047945999999996,0.0,"Vec3(-1.25443, 0.38042, -1.01524)","Vec3(0, -21.6369, 0)",-2.6
-1.2142073999999998,0.0,"Vec3(-1.25152, 0.38042, -1.02228)","Vec3(0, -22.4527, 0)",-2.6
-1.2223268999999997,0.0,"Vec3(-1.24892, 0.38042, -1.02837)","Vec3(0, -23.1564, 0)",-2.6
-1.2304208999999993,0.0,"Vec3(-1.24623, 0.38042, -1.03444)","Vec3(0, -23.8579, 0)",-2.6
-1.2452921499999996,0.0,"Vec3(-1.24314, 0.38042, -1.04117)","Vec3(0, -24.6312, 0)",-2.5714773597872744
-1.2608563999999993,0.0,"Vec3(-1.23977, 0.38042, -1.04826)","Vec3(0, -25.4316, 0)",-2.541640995676984
-1.2754956499999996,0.0,"Vec3(-1.23648, 0.38042, -1.05497)","Vec3(0, -26.1758, 0)",-2.5135930284805634
-1.2893384,0.0,"Vec3(-1.23325, 0.38042, -1.06133)","Vec3(0, -26.8717, 0)",-2.487084619641165
-1.3029644,0.0,"Vec3(-1.22997, 0.38042, -1.06763)","Vec3(0, -27.5495, 0)",-2.461003854643725
-1.3169773999999994,0.0,"Vec3(-1.22647, 0.38042, -1.07413)","Vec3(0, -28.2392, 0)",-2.4341950839862063
-1.3324601499999993,0.0,"Vec3(-1.22247, 0.38042, -1.08135)","Vec3(0, -28.993, 0)",-2.404588946108863
-1.3466914,0.0,"Vec3(-1.21868, 0.38042, -1.08801)","Vec3(0, -29.6774, 0)",-2.3773906176761743
-1.3610388999999994,0.0,"Vec3(-1.21473, 0.38042, -1.09475)","Vec3(0, -30.3596, 0)",-2.3499837280002756
-1.3765213999999997,0.0,"Vec3(-1.21033, 0.38042, -1.10205)","Vec3(0, -31.0872, 0)",-2.3204235469848915
-1.3915621500000002,0.0,"Vec3(-1.20592, 0.38042, -1.10917)","Vec3(0, -31.7853, 0)",-2.291722307934694
-1.40684615,0.0,"Vec3(-1.2013, 0.38042, -1.11642)","Vec3(0, -32.4858, 0)",-2.262572216994734
-1.4216634,0.0,"Vec3(-1.19669, 0.38042, -1.12348)","Vec3(0, -33.1563, 0)",-2.23432742306914
-1.43769415,0.0,"Vec3(-1.19155, 0.38042, -1.13113)","Vec3(0, -33.8726, 0)",-2.20378527843911
-1.4532166499999992,0.0,"Vec3(-1.18643, 0.38042, -1.13856)","Vec3(0, -34.5568, 0)",-2.1742280522686697
-1.47475615,0.0,"Vec3(-1.17906, 0.38042, -1.14891)","Vec3(0, -35.4934, 0)",-2.1332358229375132
-1.4906824,0.0,"Vec3(-1.17345, 0.38042, -1.15657)","Vec3(0, -36.1729, 0)",-2.1029491452797755
-1.5046418999999993,0.0,"Vec3(-1.16842, 0.38042, -1.16331)","Vec3(0, -36.7601, 0)",-2.0764174240106303
-1.5205876499999997,0.0,"Vec3(-1.16253, 0.38042, -1.17101)","Vec3(0, -37.4223, 0)",-2.0461254335824246
-1.5351604,0.0,"Vec3(-1.15702, 0.38042, -1.17806)","Vec3(0, -38.0186, 0)",-2.0184572098275266
-1.5492979,0.0,"Vec3(-1.15155, 0.38042, -1.18491)","Vec3(0, -38.5893, 0)",-1.9916290985045269
